Entry	Protein names	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Gene Ontology (biological process)
A0A5K4F8D6	Uncharacterized protein			
A0A5K4F8D7	Uncharacterized protein			
A0A5K4F8D9	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8E1	BHLH domain-containing protein	protein dimerization activity [GO:0046983]		
A0A5K4F8E2	Uncharacterized protein			
A0A5K4F8E5	Uncharacterized protein			
A0A5K4F8E7	28S ribosomal protein S9, mitochondrial	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]
A0A5K4F8E8	Uncharacterized protein			
A0A5K4F8E9	Uncharacterized protein			
A0A5K4F8F0	Uncharacterized protein			
A0A5K4F8F1	BTB domain-containing protein			
A0A5K4F8F3	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8F4	Steroid dehydrogenase	oxidoreductase activity [GO:0016491]	membrane [GO:0016020]	
A0A5K4F8F5	Polymorphic mucin variant	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]		
A0A5K4F8F6	Uncharacterized protein	chromatin binding [GO:0003682]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]	nucleus [GO:0005634]	regulation of DNA-templated transcription [GO:0006355]
A0A5K4F8F9	Uncharacterized protein			
A0A5K4F8G0	Uncharacterized protein			
A0A5K4F8G1	Uncharacterized protein	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		
A0A5K4F8G2	Uncharacterized protein			
A0A5K4F8G4	Helicase	ATP binding [GO:0005524]; ATP-dependent chromatin remodeler activity [GO:0140658]		
A0A5K4F8G6	Uncharacterized protein			
A0A5K4F8G8	Mediator of RNA polymerase II transcription subunit 27		mediator complex [GO:0016592]	
A0A5K4F8G9	Uncharacterized protein			
A0A5K4F8H1	Riboflavin transporter			
A0A5K4F8H3	t-SNARE coiled-coil homology domain-containing protein		Golgi apparatus [GO:0005794]; membrane [GO:0016020]	protein transport [GO:0015031]
A0A5K4F8H4	Uncharacterized protein			
A0A5K4F8H5	Uncharacterized protein			
A0A5K4F8H6	Protein kinase domain-containing protein	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		MAPK cascade [GO:0000165]; protein phosphorylation [GO:0006468]
A0A5K4F8H7	Dynein light chain		dynein complex [GO:0030286]	microtubule-based process [GO:0007017]
A0A5K4F8I0	Uncharacterized protein		axonemal microtubule [GO:0005879]	axoneme assembly [GO:0035082]
A0A5K4F8I1	Tr-type G domain-containing protein	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		
A0A5K4F8I4	Uncharacterized protein			
A0A5K4F8I6	LITAF domain-containing protein	metal ion binding [GO:0046872]	endosome membrane [GO:0010008]; lysosomal membrane [GO:0005765]	
A0A5K4F8I7	Conserved oligomeric Golgi complex subunit 4 (Component of oligomeric Golgi complex 4)		Golgi apparatus [GO:0005794]; membrane [GO:0016020]	protein transport [GO:0015031]
A0A5K4F8I9	Uncharacterized protein			
A0A5K4F8J1	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8J2	LINES_N domain-containing protein			
A0A5K4F8J4	Uncharacterized protein			
A0A5K4F8J5	Uncharacterized protein			
A0A5K4F8J9	Molybdopterin synthase sulfur carrier subunit			Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
A0A5K4F8K1	Uncharacterized protein			
A0A5K4F8K2	Uncharacterized protein		endoplasmic reticulum membrane [GO:0005789]	sphingolipid metabolic process [GO:0006665]
A0A5K4F8K3	Uncharacterized protein	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	membrane [GO:0016020]	proteolysis [GO:0006508]
A0A5K4F8K4	EF-hand domain-containing protein	calcium ion binding [GO:0005509]		
A0A5K4F8K6	Bardet-Biedl syndrome 7-like protein			
A0A5K4F8K7	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8K8	Peptidase_M13 domain-containing protein	metalloendopeptidase activity [GO:0004222]		proteolysis [GO:0006508]
A0A5K4F8K9	Uncharacterized protein			
A0A5K4F8L4	FTZ-F1 nuclear receptor-like protein	nuclear receptor activity [GO:0004879]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]	
A0A5K4F8L5	G_PROTEIN_RECEP_F2_4 domain-containing protein	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	cell surface receptor signaling pathway [GO:0007166]
A0A5K4F8L7	Uncharacterized protein		BBSome [GO:0034464]	cilium assembly [GO:0060271]
A0A5K4F8L8	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8L9	BPTI/Kunitz inhibitor domain-containing protein	serine-type endopeptidase inhibitor activity [GO:0004867]		
A0A5K4F8M1	Uncharacterized protein	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]		proteolysis [GO:0006508]
A0A5K4F8M2	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8M4	Uncharacterized protein			carbohydrate metabolic process [GO:0005975]; peptide modification [GO:0031179]
A0A5K4F8M5	Zinc finger CCHC-type and RNA-binding motif-containing protein 1 (U11/U12 small nuclear ribonucleoprotein 31 kDa protein)	RNA binding [GO:0003723]	U12-type spliceosomal complex [GO:0005689]	mRNA splicing, via spliceosome [GO:0000398]
A0A5K4F8M7	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8M8	Apple domain-containing protein		membrane [GO:0016020]	
A0A5K4F8M9	Lsm14-like N-terminal domain-containing protein			
A0A5K4F8N0	EGF-like domain-containing protein		membrane [GO:0016020]	
A0A5K4F8N1	4HBT domain-containing protein	acyl-CoA hydrolase activity [GO:0047617]		
A0A5K4F8N2	Uncharacterized protein			
A0A5K4F8N3	Uncharacterized protein			clustering of voltage-gated sodium channels [GO:0045162]
A0A5K4F8N4	Uncharacterized protein			
A0A5K4F8N5	Uncharacterized protein			
A0A5K4F8N6	Tetraspanin		membrane [GO:0016020]	
A0A5K4F8N7	Uncharacterized protein			
A0A5K4F8N8	Uncharacterized protein			
A0A5K4F8N9	EF-hand domain-containing protein	calcium ion binding [GO:0005509]	dynein complex [GO:0030286]	microtubule-based process [GO:0007017]
A0A5K4F8P1	MFS domain-containing protein	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A5K4F8P2	BPTI/Kunitz inhibitor domain-containing protein	serine-type endopeptidase inhibitor activity [GO:0004867]		
A0A5K4F8P3	Uncharacterized protein			
A0A5K4F8P5	Uncharacterized protein			
A0A5K4F8P6	BPTI/Kunitz inhibitor domain-containing protein	serine-type endopeptidase inhibitor activity [GO:0004867]		
A0A5K4F8P7	Rab5	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		
A0A5K4F8P8	Cellulase domain-containing protein	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]		organic substance metabolic process [GO:0071704]
A0A5K4F8P9	Uncharacterized protein			
A0A5K4F8Q0	Rotatin N-terminal domain-containing protein		centrosome [GO:0005813]; ciliary basal body [GO:0036064]	cilium organization [GO:0044782]
A0A5K4F8Q2	28S ribosomal protein S36, mitochondrial			
A0A5K4F8Q3	Dynein light chain		cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]	microtubule-based process [GO:0007017]
A0A5K4F8Q4	Uncharacterized protein	symporter activity [GO:0015293]	membrane [GO:0016020]	carbohydrate transport [GO:0008643]
A0A5K4F8Q5	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8Q6	Dynein light chain		cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]	microtubule-based process [GO:0007017]
A0A5K4F8Q7	Transporter	symporter activity [GO:0015293]	membrane [GO:0016020]	
A0A5K4F8Q8	RNase_PH domain-containing protein			
A0A5K4F8Q9	Subfamily A1A unassigned peptidase (A01 family)	aspartic-type endopeptidase activity [GO:0004190]		proteolysis [GO:0006508]
A0A5K4F8R0	Doublecortin domain-containing protein			
A0A5K4F8R1	UPAR/Ly6 domain-containing protein			
A0A5K4F8R2	RRP1-like protein		nucleus [GO:0005634]; preribosome, small subunit precursor [GO:0030688]	rRNA processing [GO:0006364]
A0A5K4F8R5	BolA-like protein	2 iron, 2 sulfur cluster binding [GO:0051537]		protein maturation by iron-sulfur cluster transfer [GO:0097428]
A0A5K4F8R6	Tetraspanin		membrane [GO:0016020]	
A0A5K4F8R7	Uncharacterized protein			
A0A5K4F8R8	Nucleosome assembly protein		nucleus [GO:0005634]	nucleosome assembly [GO:0006334]
A0A5K4F8R9	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8S0	G_PROTEIN_RECEP_F1_2 domain-containing protein	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	
A0A5K4F8S1	Tetraspanin		membrane [GO:0016020]	
A0A5K4F8S2	DEP domain-containing protein	GTPase activator activity [GO:0005096]		
A0A5K4F8S3	Uncharacterized protein			
A0A5K4F8S5	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8S7	Uncharacterized protein			
A0A5K4F8S8	Trematode Eggshell Synthesis domain containing protein			
A0A5K4F8S9	G_PROTEIN_RECEP_F1_2 domain-containing protein	G protein-coupled receptor activity [GO:0004930]	membrane [GO:0016020]	
A0A5K4F8T3	GPI transamidase component PIG-T		GPI-anchor transamidase complex [GO:0042765]	attachment of GPI anchor to protein [GO:0016255]
A0A5K4F8T4	Secreted protein			
A0A5K4F8T7	Uncharacterized protein			
A0A5K4F8T8	Uncharacterized protein			
A0A5K4F8U2	Uncharacterized protein			
A0A5K4F8U3	Uncharacterized protein			
A0A5K4F8U5	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8U6	C1q domain-containing protein			
A0A5K4F8U8	MEG 1		membrane [GO:0016020]	
A0A5K4F8U9	Uncharacterized protein			
A0A5K4F8V0	Proteolipid protein, putative		membrane [GO:0016020]	
A0A5K4F8V4	Uncharacterized protein	zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]	regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165]
A0A5K4F8V5	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8V7	Uncharacterized protein	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]		
A0A5K4F8V9	Cadherin domain-containing protein	calcium ion binding [GO:0005509]	plasma membrane [GO:0005886]	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
A0A5K4F8W0	Uncharacterized protein			
A0A5K4F8W3	Nuclear receptor domain-containing protein	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]	
A0A5K4F8W4	Protein FAM154B	microtubule binding [GO:0008017]		
A0A5K4F8W5	Uncharacterized protein			
A0A5K4F8W8	SCHIP-1 domain-containing protein			
A0A5K4F8W9	CBS domain-containing protein			
A0A5K4F8X0	Uncharacterized protein			
A0A5K4F8X3	Putative cell division cycle			
A0A5K4F8X4	CUB domain-containing protein			
A0A5K4F8X5	Uncharacterized protein			
A0A5K4F8X8	PIPK domain-containing protein	ATP binding [GO:0005524]; phosphatidylinositol phosphate kinase activity [GO:0016307]		
A0A5K4F8X9	Tr-type G domain-containing protein	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		translation [GO:0006412]
A0A5K4F8Y0	Ovule protein			
A0A5K4F8Y3	Ig-like domain-containing protein		membrane [GO:0016020]	
A0A5K4F8Y4	Cat eye syndrome critical region protein 5			
A0A5K4F8Y5	Uncharacterized protein			
A0A5K4F8Y6	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F8Y7	PKS_ER domain-containing protein	oxidoreductase activity [GO:0016491]	membrane [GO:0016020]	
A0A5K4F8Y9	GT23 domain-containing protein	hexosyltransferase activity [GO:0016758]		
A0A5K4F8Z1	Uncharacterized protein	UFM1 ligase activity [GO:0061666]		protein ufmylation [GO:0071569]
A0A5K4F8Z2	Phosphoribulokinase/uridine kinase domain-containing protein			
A0A5K4F8Z4	Uncharacterized protein			
A0A5K4F8Z5	SCP domain-containing protein			
A0A5K4F8Z7	Uncharacterized protein			
A0A5K4F8Z8	Tetraspanin		membrane [GO:0016020]	
A0A5K4F8Z9	Uncharacterized protein			
A0A5K4F902	Uncharacterized protein			
A0A5K4F903	DNA-methyltransferase 2 isoform 1	methyltransferase activity [GO:0008168]		methylation [GO:0032259]
A0A5K4F904	Uncharacterized protein			
A0A5K4F906	Uncharacterized protein			
A0A5K4F910	PDZ domain-containing protein			
A0A5K4F913	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F915	Annexin	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]		
A0A5K4F919	Pre-mRNA 3'-end-processing factor FIP1 (FIP1-like 1 protein)		nucleus [GO:0005634]	
A0A5K4F920	Rab11	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		
A0A5K4F923	Uncharacterized protein			
A0A5K4F925	Complex I-49kD (NADH-ubiquinone oxidoreductase 49 kDa subunit)	NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; quinone binding [GO:0048038]		
A0A5K4F927	Uncharacterized protein			
A0A5K4F928	Saposin B-type domain-containing protein			
A0A5K4F929	Pikachurin	calcium ion binding [GO:0005509]		
A0A5K4F930	Hydin_ADK domain-containing protein			
A0A5K4F931	Uncharacterized protein			
A0A5K4F932	Uncharacterized protein			
A0A5K4F936	Uncharacterized protein	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	membrane [GO:0016020]	proteolysis [GO:0006508]
A0A5K4F937	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F938	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F940	Sushi domain-containing protein			
A0A5K4F941	Leucine-rich repeat-containing protein 51		cytoplasm [GO:0005737]	
A0A5K4F942	Uncharacterized protein			
A0A5K4F943	Uncharacterized protein			
A0A5K4F944	BHLH domain-containing protein	protein dimerization activity [GO:0046983]		
A0A5K4F945	Cilia- and flagella-associated protein 91		cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	
A0A5K4F946	FTZ-F1 nuclear receptor-like protein	nuclear receptor activity [GO:0004879]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]	
A0A5K4F947	60S ribosomal protein L21	extracellular ligand-gated monoatomic ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	membrane [GO:0016020]	
A0A5K4F948	MPN domain-containing protein		EMC complex [GO:0072546]	
A0A5K4F949	Uncharacterized protein			
A0A5K4F951	Uncharacterized protein			
A0A5K4F953	Uncharacterized protein			
A0A5K4F954	TGS domain-containing protein			
A0A5K4F955	Tetraspanin		membrane [GO:0016020]	
A0A5K4F956	Family M13 unassigned peptidase (M13 family)	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]		proteolysis [GO:0006508]
A0A5K4F957	Ribosome biogenesis regulatory protein		membrane [GO:0016020]	
A0A5K4F958	Uncharacterized protein			
A0A5K4F959	Interleukin-4 inducing immunoglobulin-binding domain-containing protein			
A0A5K4F960	Uncharacterized protein		nucleus [GO:0005634]	
A0A5K4F961	UEV domain-containing protein		endosome [GO:0005768]	protein transport [GO:0015031]
A0A5K4F962	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F964	Spindle assembly abnormal protein 6 N-terminal domain-containing protein			
A0A5K4F965	Neurotransmitter-gated ion-channel ligand-binding domain-containing protein	extracellular ligand-gated monoatomic ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	membrane [GO:0016020]	
A0A5K4F966	KASH domain-containing protein		membrane [GO:0016020]	
A0A5K4F968	Uncharacterized protein			
A0A5K4F969	IRS-type PTB domain-containing protein			
A0A5K4F970	Uncharacterized protein			
A0A5K4F971	Protein kinase domain-containing protein			
A0A5K4F972	Uncharacterized protein			
A0A5K4F973	Uncharacterized protein			
A0A5K4F974	Uncharacterized protein			
A0A5K4F975	Uncharacterized protein			
A0A5K4F976	UBP-type domain-containing protein	zinc ion binding [GO:0008270]		
A0A5K4F977	Uncharacterized protein			
A0A5K4F978	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F979	Uncharacterized protein			
A0A5K4F980	Magnesium-dependent phosphatase 1	phosphatase activity [GO:0016791]		
A0A5K4F983	Uncharacterized protein			
A0A5K4F985	Uncharacterized protein			
A0A5K4F986	Ovule protein			
A0A5K4F987	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F988	Uncharacterized protein			
A0A5K4F989	BPTI/Kunitz inhibitor domain-containing protein	serine-type endopeptidase inhibitor activity [GO:0004867]		
A0A5K4F990	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F991	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F994	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F996	Rap guanine nucleotide exchange factor 4	guanyl-nucleotide exchange factor activity [GO:0005085]		small GTPase mediated signal transduction [GO:0007264]
A0A5K4F997	Uncharacterized protein			
A0A5K4F998	Uncharacterized protein			mRNA splicing, via spliceosome [GO:0000398]
A0A5K4F999	Uncharacterized protein			
A0A5K4F9A1	PIPK domain-containing protein	ATP binding [GO:0005524]; phosphatidylinositol phosphate kinase activity [GO:0016307]		
A0A5K4F9A2	Uncharacterized protein			
A0A5K4F9A4	Uncharacterized protein			
A0A5K4F9A5	Uncharacterized protein			
A0A5K4F9A7	Uncharacterized protein			
A0A5K4F9A8	Uncharacterized protein			
A0A5K4F9A9	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9B0	Bromo domain-containing protein			
A0A5K4F9B1	Uncharacterized protein			
A0A5K4F9B2	Uncharacterized protein			
A0A5K4F9B3	EF-hand domain-containing protein	calcium ion binding [GO:0005509]		
A0A5K4F9B5	LIM zinc-binding domain-containing protein	metal ion binding [GO:0046872]		
A0A5K4F9B6	Uncharacterized protein			
A0A5K4F9B7	Uncharacterized protein			
A0A5K4F9B8	Na_Ca_ex domain-containing protein	antiporter activity [GO:0015297]; calcium ion transmembrane transporter activity [GO:0015085]	membrane [GO:0016020]	
A0A5K4F9C0	Uncharacterized protein			
A0A5K4F9C1	Peptidase A2 domain-containing protein			
A0A5K4F9C2	HIT-type domain-containing protein			
A0A5K4F9C4	Interleukin-4 inducing immunoglobulin-binding domain-containing protein			
A0A5K4F9C5	Gamma-tubulin complex component	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		protein phosphorylation [GO:0006468]
A0A5K4F9C9	Secretory glycoprotein k5			
A0A5K4F9D1	Eggshell protein			
A0A5K4F9D2	Endo/exonuclease/phosphatase domain-containing protein			
A0A5K4F9D4	Secretory glycoprotein k5			
A0A5K4F9D6	Peptidase S1 domain-containing protein	serine-type endopeptidase activity [GO:0004252]		proteolysis [GO:0006508]
A0A5K4F9D7	Uncharacterized protein			
A0A5K4F9D8	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9D9	Uncharacterized protein			clustering of voltage-gated sodium channels [GO:0045162]
A0A5K4F9E1	Uncharacterized protein			
A0A5K4F9E2	Ovule protein			
A0A5K4F9E3	Uncharacterized protein			
A0A5K4F9E5	B box-type domain-containing protein			
A0A5K4F9E6	Uncharacterized protein			
A0A5K4F9E7	Secreted protein			
A0A5K4F9E9	Malectin domain-containing protein	carbohydrate binding [GO:0030246]	endoplasmic reticulum membrane [GO:0005789]	
A0A5K4F9F0	Uncharacterized protein			
A0A5K4F9F1	DUF667 domain-containing protein			
A0A5K4F9F2	Heat shock factor binding protein			
A0A5K4F9F3	Uncharacterized protein			
A0A5K4F9F4	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9F5	Protein kinase domain-containing protein	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		protein phosphorylation [GO:0006468]
A0A5K4F9F6	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9F7	Fork-head domain-containing protein	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	nucleus [GO:0005634]	
A0A5K4F9F8	5'-nucleotidase domain-containing protein 3	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]		
A0A5K4F9G0	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9G1	Uncharacterized protein			
A0A5K4F9G2	Uncharacterized protein			
A0A5K4F9G3	Rotatin N-terminal domain-containing protein		centrosome [GO:0005813]; ciliary basal body [GO:0036064]	cilium organization [GO:0044782]
A0A5K4F9G5	Uncharacterized protein			
A0A5K4F9G6	Transmembrane protein		membrane [GO:0016020]	
A0A5K4F9G7	UPF0506 domain-containing protein		extracellular region [GO:0005576]	
A0A5K4F9G8	Uncharacterized protein			
A0A5K4F9G9	Uncharacterized protein			
A0A5K4F9H0	Uncharacterized protein			
A0A5K4F9H1	UPF0506 domain-containing protein		extracellular region [GO:0005576]	
A0A5K4F9H3	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9H4	Subfamily A1A unassigned peptidase (A01 family)	aspartic-type endopeptidase activity [GO:0004190]		proteolysis [GO:0006508]
A0A5K4F9H5	Uncharacterized protein			
A0A5K4F9H6	UEV domain-containing protein		endosome [GO:0005768]	protein modification process [GO:0036211]; protein transport [GO:0015031]
A0A5K4F9H7	Cellulase domain-containing protein	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]		
A0A5K4F9H8	BHLH domain-containing protein	protein dimerization activity [GO:0046983]		
A0A5K4F9H9	PDZ domain-containing protein			
A0A5K4F9I0	UPF0506 domain-containing protein		extracellular region [GO:0005576]	
A0A5K4F9I1	Ubiquitin-like domain-containing protein			
A0A5K4F9I2	Uncharacterized protein			
A0A5K4F9I3	Uncharacterized protein			
A0A5K4F9I4	C2H2-type domain-containing protein			
A0A5K4F9I5	Mitochondrial fission regulator 2			
A0A5K4F9I6	Uncharacterized protein			
A0A5K4F9I7	SMP-LTD domain-containing protein	lipid binding [GO:0008289]	endoplasmic reticulum [GO:0005783]	lipid transport [GO:0006869]
A0A5K4F9I8	Uncharacterized protein			
A0A5K4F9I9	Uncharacterized protein			signal transduction [GO:0007165]
A0A5K4F9J2	Interleukin-4 inducing immunoglobulin-binding domain-containing protein			
A0A5K4F9J3	DRBM domain-containing protein	RNA binding [GO:0003723]		
A0A5K4F9J4	Phosphoribulokinase/uridine kinase domain-containing protein			
A0A5K4F9J5	Vitellogenin domain-containing protein	lipid transporter activity [GO:0005319]		
A0A5K4F9J6	Uncharacterized protein			
A0A5K4F9J7	Transposase IS204/IS1001/IS1096/IS1165 DDE domain-containing protein			
A0A5K4F9J8	Deacetylase sirtuin-type domain-containing protein	NAD+ binding [GO:0070403]; transferase activity [GO:0016740]		
A0A5K4F9K1	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C		membrane [GO:0016020]	GPI anchor biosynthetic process [GO:0006506]
A0A5K4F9K6	Uncharacterized protein			
A0A5K4F9K8	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9K9	Chloride channel CLIC-like protein 1		membrane [GO:0016020]	
A0A5K4F9L0	Uncharacterized protein			
A0A5K4F9L1	N-methyl-D-aspartate receptor-associated protein		membrane [GO:0016020]	
A0A5K4F9L2	Uncharacterized protein			
A0A5K4F9L4	LITAF domain-containing protein	metal ion binding [GO:0046872]	endosome membrane [GO:0010008]; lysosomal membrane [GO:0005765]	
A0A5K4F9L6	Uncharacterized protein			
A0A5K4F9L8	Steroid dehydrogenase, putative		membrane [GO:0016020]	
A0A5K4F9M0	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9M2	Uncharacterized protein			
A0A5K4F9M5	FAD_binding_1 domain-containing protein	oxidoreductase activity [GO:0016491]		
A0A5K4F9M7	SCHIP-1 domain-containing protein			
A0A5K4F9M8	C3H1-type domain-containing protein	metal ion binding [GO:0046872]; RNA binding [GO:0003723]		pre-mRNA cleavage required for polyadenylation [GO:0098789]
A0A5K4F9N0	Proteasome maturation protein			proteasome assembly [GO:0043248]
A0A5K4F9N1	Tetratricopeptide repeat protein 21B			
A0A5K4F9N2	Tropomyosin-1			
A0A5K4F9N3	Uncharacterized protein			
A0A5K4F9N4	PIPK domain-containing protein	ATP binding [GO:0005524]; phosphatidylinositol phosphate kinase activity [GO:0016307]		
A0A5K4F9N5	RRM domain-containing protein	RNA binding [GO:0003723]		
A0A5K4F9N7	J domain-containing protein			
A0A5K4F9N8	Uncharacterized protein			
A0A5K4F9P0	Dolichyldiphosphatase		membrane [GO:0016020]	
A0A5K4F9P2	Ig-like domain-containing protein		membrane [GO:0016020]	
A0A5K4F9P5	Uncharacterized protein			
A0A5K4F9P6	Uncharacterized protein		membrane [GO:0016020]	
A0A5K4F9P8	C2H2-type domain-containing protein			
A0A5K4F9P9	Acetyl-coenzyme A transporter 1	acetyl-CoA transmembrane transporter activity [GO:0008521]	membrane [GO:0016020]	
A0A5K4F9Q0	F5/8 type C domain-containing protein		membrane [GO:0016020]	
A0A5K4F9Q2	ANAPC4_WD40 domain-containing protein			
A0A5K4F9Q3	Alpha-ketoglutarate-dependent dioxygenase AlkB-like domain-containing protein		mitochondrial matrix [GO:0005759]	DNA damage response [GO:0006974]; regulation of mitochondrial membrane permeability involved in programmed necrotic cell death [GO:1902445]
A0A5K4F9Q5	MEG 2.3			
A0A5K4F9Q6	Uncharacterized protein			
A0A5K4F9Q7	ATP-binding domain-containing protein 4			
A0A5K4F9Q8	Tripartite motif protein trim9, putative	zinc ion binding [GO:0008270]		
A0A5K4F9R0	Uncharacterized protein			
A0A5K4F9R1	C2H2-type domain-containing protein			
A0A5K4F9R2	Cadherin domain-containing protein			
A0A5K4F9R3	Alpha-carbonic anhydrase domain-containing protein	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]	membrane [GO:0016020]	
A0A5K4F9R4	Uncharacterized protein			
A0A5K4F9R6	Uncharacterized protein			
A0A5K4F9R8	Oligodendrocyte transcription factor 2			
A0A5K4F9R9	Rab11	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	membrane [GO:0016020]	
A0A5K4F9S0	Uncharacterized protein			
A0A5K4F9S2	Uncharacterized protein			
A0A5K4F9S3	Complex I-49kD		membrane [GO:0016020]	
A0A5K4F9S4	Uncharacterized protein			
A0A5K4F9S7	Pikachurin	calcium ion binding [GO:0005509]		
A0A5K4F9S8	C2H2-type domain-containing protein			
A0A5K4F9S9	MAM domain-containing protein		membrane [GO:0016020]	
A0A5K4F9T1	Uncharacterized protein			
A0A5K4F9T2	Tyrosine-protein phosphatase non-receptor type 23	protein tyrosine phosphatase activity [GO:0004725]		protein dephosphorylation [GO:0006470]
A0A5K4F9T3	Uncharacterized protein			
A0A5K4F9T4	RING-type domain-containing protein	zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]	
A0A5K4F9T5	Uncharacterized protein		cytoplasm [GO:0005737]; nucleus [GO:0005634]	
A0A5K4F9T6	Ovule protein			
A0A5K4F9T8	Putative nucleolar protein c7b			
A0A5K4F9T9	Uncharacterized protein			
A0A5K4F9U0	Uncharacterized protein			
A0A5K4F9U1	Uncharacterized protein			
A0A5K4F9U2	Uncharacterized protein			
A0A5K4F9U3	Zinc finger protein, putative			
A0A5K4F9U4	Uncharacterized protein		mitochondrial ribosome [GO:0005761]	
A0A5K4F9U5	Uncharacterized protein			
A0A5K4F9U8	DUF3668 domain-containing protein			
A0A5K4F9U9	NFRKB_winged domain-containing protein			
A0A5K4F9V3	Adenylate cyclase	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]	
A0A5K4F9V4	Ribosome biogenesis regulatory protein			
A0A5K4F9V6	Uncharacterized protein			
A0A5K4F9V7	Uncharacterized protein			signal transduction [GO:0007165]
A0A5K4F9V9	Uncharacterized protein			
